StrategyName,Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date,Parameters
will_sar_xover_v2_mxu,SELL,1.1963,1.1957,10.34,6,01/05/2015 00:00:00,01/05/2015 07:00:00,0.616,0.616,10009.108,0.00091080000000001748,01/05/2015 00:00:00,01/05/2015 07:00:00,"{""_p1_accel"":""0.02"",""_fraction"":""0.01"",""_tag"":""will_sar_xover_v2_mxu"",""_p4_tp"":""5.0"",""defaultInstrument"":""EUR/USD"",""_p3_sl"":""0.75"",""defaultPeriod"":""Hourly"",""_p2_will"":""16""}"
,BUY,1.19558,1.18984,-99.07,-57.4,01/05/2015 07:00:00,01/05/2015 11:34:35,0.616,0.616,9908.806,-0.010021072806887455,01/05/2015 07:00:00,01/05/2015 11:34:35,
,SELL,1.1899702,1.19464,-79.78,-46.7,01/05/2015 12:00:00,01/06/2015 02:00:00,0.616,0.75714285714285712,9827.6528571428571,-0.00819000219170134,01/05/2015 12:00:00,01/06/2015 02:00:00,
,BUY,1.19464,1.19079,-65.24,-38.5,01/06/2015 02:00:05,01/06/2015 09:00:00,0.75714285714285712,0.75714285714285712,9760.8985714285718,-0.0067924952869868075,01/06/2015 02:00:05,01/06/2015 09:00:00,
,SELL,1.19079,1.19374,-49.65,-29.5,01/06/2015 09:00:00,01/06/2015 16:00:00,0.75714285714285712,0.75714285714285712,9709.7342857142867,-0.0052417597969975534,01/06/2015 09:00:00,01/06/2015 16:00:00,
,BUY,1.19369,1.18985,-64.29,-38.4,01/06/2015 16:00:00,01/06/2015 20:00:00,0.75714285714285712,0.75714285714285712,9643.93,-0.0067771458804081535,01/06/2015 16:00:00,01/06/2015 20:00:00,
,SELL,1.1898402,1.18505,79.67,47.9,01/06/2015 20:00:01,01/07/2015 19:00:00,0.42333333333333334,0.42333333333333334,9722.753333333334,0.00817336224270953,01/06/2015 23:00:00,01/07/2015 19:00:00,
,BUY,1.1851115,1.18202,-49.28,-30.9,01/07/2015 19:00:00,01/08/2015 07:00:00,0.42333333333333334,0.62,9672.43,-0.00517583153743148,01/07/2015 19:00:00,01/08/2015 07:00:00,
,SELL,1.182,1.181,15.86,10,01/08/2015 07:00:00,01/08/2015 16:00:00,0.62,0.62,9687.0500000000011,0.0015115126188559442,01/08/2015 07:00:00,01/08/2015 16:00:00,
,BUY,1.1810338,1.17876,-36.11,-22.7,01/08/2015 16:00:00,01/09/2015 13:00:00,0.62,0.6075,9649.7125,-0.0038543725902107917,01/08/2015 16:00:00,01/09/2015 13:00:00,
,SELL,1.17876,1.18326,-70.04,-45,01/09/2015 13:00:00,01/09/2015 15:00:00,0.6075,0.6075,9578.4574999999986,-0.0073841578181734454,01/09/2015 13:00:00,01/09/2015 15:00:00,
,BUY,1.1832738,1.18152,-27.1,-17.5,01/09/2015 15:00:00,01/12/2015 08:00:00,0.6075,0.625,9550.1249999999982,-0.0029579397309013942,01/09/2015 15:00:00,01/12/2015 08:00:00,
,SELL,1.18154,1.184,-39.82,-24.6,01/12/2015 08:00:00,01/12/2015 14:00:00,0.625,0.625,9509.0549999999985,-0.0043004672713707641,01/12/2015 08:00:00,01/12/2015 14:00:00,
,BUY,1.1840338,1.183,-16.66,-10.3,01/12/2015 14:00:01,01/13/2015 06:00:00,0.625,0.63,9491.14,-0.0018839937301865493,01/12/2015 14:00:01,01/13/2015 06:00:00,
,SELL,1.1830002,1.1786,70.79,44,01/13/2015 06:00:00,01/14/2015 04:00:00,0.63,0.60833333333333328,9560.6916666666675,0.0073280624526314122,01/13/2015 06:00:00,01/14/2015 04:00:00,
,BUY,1.17861,1.17441,-65.83,-42,01/14/2015 04:00:00,01/14/2015 09:00:00,0.60833333333333328,0.60833333333333328,9493.645,-0.0070127422789320933,01/14/2015 04:00:00,01/14/2015 09:00:00,
,SELL,1.17441,1.1806,-96.34,-61.9,01/14/2015 09:00:00,01/14/2015 12:32:11,0.60833333333333328,0.60833333333333328,9396.0883333333331,-0.010275996908107191,01/14/2015 09:00:00,01/14/2015 12:32:11,
,BUY,1.1826315,1.17641,-95.83,-62.2,01/14/2015 13:00:00,01/15/2015 05:02:54,0.60833333333333328,0.585,9299.065,-0.010325928183235042,01/14/2015 13:00:00,01/15/2015 05:02:54,
,SELL,1.1772302,1.16361,201.03,136.2,01/15/2015 06:00:00,01/16/2015 06:00:00,0.585,0.525,9498.985,0.021498935645680513,01/15/2015 06:00:00,01/16/2015 06:00:00,
,BUY,1.16361,1.15865,-67.31,-49.6,01/16/2015 06:00:00,01/16/2015 11:00:00,0.525,0.525,9430.6250000000018,-0.0071965583691308869,01/16/2015 06:00:00,01/16/2015 11:00:00,
,SELL,1.15866,1.1569,23.71,17.6,01/16/2015 11:00:00,01/16/2015 20:00:00,0.525,0.525,9453.2850000000017,0.0024028099940353741,01/16/2015 11:00:00,01/16/2015 20:00:00,
,BUY,1.1569476,1.15846,20.42,15.1,01/16/2015 20:00:00,01/20/2015 00:00:00,0.525,0.51666666666666672,9472.6633333333357,0.0020499046980318493,01/16/2015 20:00:00,01/20/2015 00:00:00,
,SELL,1.15831,1.16064,-31.53,-23.3,01/20/2015 00:00:00,01/20/2015 10:00:00,0.51666666666666672,0.51666666666666672,9440.1000000000022,-0.0034376111751746158,01/20/2015 00:00:00,01/20/2015 10:00:00,
,BUY,1.16064,1.1582,-32.91,-24.4,01/20/2015 10:00:00,01/20/2015 11:00:00,0.51666666666666672,0.51666666666666672,9406.15666666667,-0.0035956540008403189,01/20/2015 10:00:00,01/20/2015 11:00:00,
,SELL,1.1582202,1.15749,9.81,7.3,01/20/2015 11:00:00,01/21/2015 05:00:00,0.51666666666666672,0.52,9414.9300000000021,0.00093272243321476612,01/20/2015 11:00:00,01/21/2015 05:00:00,
,BUY,1.15749,1.15741,-1.09,-0.8,01/21/2015 05:00:00,01/21/2015 17:00:00,0.52,0.52,9412.8000000000011,-0.00022623641386616982,01/21/2015 05:00:00,01/21/2015 17:00:00,
,SELL,1.1574306,1.16237,-67.36,-49.4,01/21/2015 17:00:00,01/22/2015 09:00:00,0.52,0.5075,9344.4125,-0.0072653726840048363,01/21/2015 17:00:00,01/22/2015 09:00:00,
,BUY,1.16237,1.15523,-93.98,-71.4,01/22/2015 09:00:00,01/22/2015 12:40:42,0.5075,0.5075,9249.4175000000014,-0.010165968165467757,01/22/2015 09:00:00,01/22/2015 12:40:42,
,SELL,1.1562902,1.12083,461.94,354.6,01/22/2015 13:00:00,01/23/2015 10:56:53,0.5075,0.445,9710.4050000000025,0.049839625035846963,01/22/2015 13:00:00,01/23/2015 10:56:53,
,SELL,1.11726,1.12568,-98.51,-84.2,01/23/2015 11:00:00,01/23/2015 13:06:43,0.445,0.445,9611.0050000000028,-0.010236442249319118,01/23/2015 11:00:00,01/23/2015 13:06:43,
,SELL,1.1243902,1.12171,31.04,26.8,01/23/2015 14:00:00,01/26/2015 06:00:00,0.445,0.61,9640.9900000000034,0.0031198610343039644,01/23/2015 14:00:00,01/26/2015 06:00:00,
,BUY,1.1217,1.12387,23.25,21.7,01/26/2015 06:00:00,01/26/2015 21:00:00,0.61,0.2975,9663.3325000000041,0.002317448726738711,01/26/2015 06:00:00,01/26/2015 23:00:00,
,SELL,1.12384,1.13299,-98.25,-91.5,01/26/2015 21:00:00,01/27/2015 07:57:21,0.2975,0.2975,9564.4875000000047,-0.01022887290693964,01/26/2015 23:00:00,01/27/2015 07:57:21,
,BUY,1.1337638,1.13349,-2.85,-2.7,01/27/2015 08:00:00,01/28/2015 02:00:00,0.2975,0.385,9560.9550000000036,-0.00036933500096070622,01/27/2015 08:00:00,01/28/2015 02:00:00,
,SELL,1.1334906,1.13114,23.66,23.5,01/28/2015 02:00:00,01/29/2015 11:00:00,0.385,0.375,9583.8550000000032,0.0023951582242568476,01/28/2015 02:00:00,01/29/2015 11:00:00,
,BUY,1.13112,1.13039,-7.36,-7.3,01/29/2015 11:00:00,01/29/2015 17:00:00,0.375,0.375,9575.7450000000026,-0.0008462148060462705,01/29/2015 11:00:00,01/29/2015 17:00:00,
,SELL,1.1304402,1.13411,-37,-36.7,01/29/2015 17:00:00,01/30/2015 08:00:00,0.375,0.3825,9537.9875000000029,-0.0039430352416443522,01/29/2015 17:00:00,01/30/2015 08:00:00,
,BUY,1.13414,1.13179,-24.1,-23.5,01/30/2015 08:00:00,01/30/2015 13:00:00,0.3825,0.3825,9513.1225000000031,-0.0026069440749424103,01/30/2015 08:00:00,01/30/2015 13:00:00,
,SELL,1.1318102,1.13085,9.82,9.6,01/30/2015 13:00:00,02/02/2015 05:00:00,0.3825,0.405,9522.1550000000025,0.000949477944807222,01/30/2015 13:00:00,02/02/2015 05:00:00,
,BUY,1.13083,1.13112,3.17,2.9,02/02/2015 05:00:00,02/02/2015 13:00:00,0.405,0.405,9524.5150000000031,0.00024784305653505759,02/02/2015 05:00:00,02/02/2015 13:00:00,
